name,ph_seq,ph_dur
Call_Me_Maybe_seg000,SP ay th r uw ax w ih sh ih n dh ax w eh l SP,0.759375 0.1208333 0.15 0.0633292 0.1541949 0.1950114 0.0572562 0.1 0.1697916 0.0895834 0.1197918 0.053146 0.1874788 0.0593752 0.1010416 0.1093748 0.2708336
Call_Me_Maybe_seg001,SP d ow n ae s m iy ay l n eh v er t eh l SP,0.2708336 0.0593748 0.1406252 0.0791664 0.1406252 0.0791664 0.0801942 0.2000142 0.1327524 0.0682896 0.0626628 0.1873368 0.0593752 0.0697916 0.1993692 0.1402144 0.1 0.6577456
Call_Me_Maybe_seg002,SP ay l uh k t uw y uw ae z ih t f eh l SP,0.6577456 0.143296 0.0791668 0.05 0.0697916 0.156612 0.2193868 0.0844176 0.1895836 0.1908512 0.0799324 0.0698412 0.0697916 0.1222716 0.1371032 0.1 0.3031472
Call_Me_Maybe_seg003,SP ae n aw y uh r ih n m ay w ey SP,0.3031472 0.0572704 0.1598488 0.2203584 0.07386 0.1063496 0.0791656 0.1406248 0.119792 0.139584 0.3312496 0.0593752 0.2381448 0.3712304
Call_Me_Maybe_seg004,SP ay tr ey d m ay s ow l f ao r ax w ih sh AP p eh n iy z ae n d ay m z f ao r ax k ih s AP ay w aa z ax n l uh k ih n f ao r dh ih s AP b ah n aw y uh r ih n m ay w ey AP y ao r s d eh r w aa z hh ow l d ih ng SP,0.3712304 0.1 0.1906248 0.1406248 0.05 0.0313072 0.1582752 0.1240368 0.106172 0.0593752 0.1127976 0.1872024 0.1 0.180208 0.0654696 0.1043224 0.139584 0.230208 0.019792 0.110416 0.119792 0.2 0.069792 0.0812496 0.1593752 0.0197912 0.2208336 0.0514872 0.057888 0.0776008 0.0723992 0.0395832 0.1406248 0.1791672 0.1906248 0.0895832 0.3248648 0.194928 0.0499984 0.1708336 0.0593744 0.1010432 0.0791648 0.069792 0.1 0.1406256 0.0708336 0.139584 0.0709888 0.1488016 0.0593744 0.05 0.1505536 0.0796544 0.3000016 0.0330432 0.0773728 0.1295424 0.240248 0.0658752 0.0737088 0.1000016 0.110416 0.1697904 0.1197936 0.310416 0.0750576 0.3249424 0.410416 0.0509216 0.130328 0.089584 0.1291664 0.0879968 0.1724192 0.079168 0.039584 0.0395824 0.1 0.05 0.1666384 0.0239856 0.039584 0.0486752 0.0919504 0.2
Call_Me_Maybe_seg005,SP r ih p t jh iy n z s g ih n w aa z sh ow ih ng SP,0.2 0.039584 0.0906256 0.0791648 0.1708352 0.1027824 0.1878432 0.0944704 0.055528 0.069792 0.0791648 0.1406256 0.05 0.039584 0.1 0.1 0.0697904 0.189584 0.066816 0.083184 0.1843888
Call_Me_Maybe_seg006,SP hh aa t n ay t w ih n w aa z b l ow ih ng AP w eh r y uw th ih ng k y uh aa r g ow ih n b ey b iy AP hh ey SP,0.1843888 0.0425184 0.1730912 0.0500016 0.2893792 0.210624 0.0999968 0.1802096 0.15 0.05 0.0395824 0.0416672 0.0791664 0.0802064 0.044168 0.135 0.0498096 0.0606064 0.2708352 0.0291648 0.1114592 0.0791664 0.0593744 0.1208352 0.1291648 0.1010432 0.069792 0.0197904 0.039584 0.0905888 0.1000384 0.0499984 0.0755888 0.2324256 0.1315696 0.1 0.071832 0.2479584 0.0197904 0.2791888 0.4208112 0.1001648 0.2998352 0.1712512
Call_Me_Maybe_seg007,SP ay jh ah s t m eh t y uw SP,0.1712512 0.1693744 0.059376 0.0614592 0.0791648 0.019792 0.059376 0.1019136 0.2584992 0.0395872 0.4 0.1199392
Call_Me_Maybe_seg009,SP ax n dh ih s k r ey z iy SP,0.1088448 0.0509568 0.15 0.029168 0.140624 0.15 0.139584 0.03808 0.242128 0.0764672 0.4829056 0.1163008
Call_Me_Maybe_seg011,SP b ah t hh ih r z m ay n ah m b er SP,0.0805152 0.0623424 0.1491136 0.0291712 0.09496 0.1258688 0.029168 0.05 0.069792 0.1697888 0.0633184 0.1471008 0.0796576 0.0459168 0.3338016 0.1895808
Call_Me_Maybe_seg012,SP AP s ow k ao l m iy m ey b iy SP,0.1895808 0.2406272 0.1685312 0.151264 0.1293472 0.1887712 0.0329184 0.0627776 0.1268064 0.1160512 0.2433216 0.0464736 0.3337376 0.497552
Call_Me_Maybe_seg013,SP ih t s hh aa r d t uw l uh k r ay t AP ae t y uw b ey b iy AP b ah t hh ih r z m ay n ah m b er SP,0.497552 0.203488 0.1 0.079168 0.079168 0.1020832 0.029168 0.0291616 0.1253888 0.0350304 0.052384 0.0986592 0.1697888 0.079168 0.7 0.1 0.3860544 0.1337376 0.1697888 0.0395872 0.080208 0.1311008 0.6793152 0.0819072 0.2576768 0.3010432 0.0446816 0.1251072 0.029168 0.1266784 0.1115616 0.0628032 0.05 0.0705312 0.1690496 0.05 0.1395808 0.1 0.0395872 0.2604128 0.4395872
Call_Me_Maybe_seg014,SP s ow k ao l m iy m ey b iy SP,0.4395872 0.1609696 0.1192384 0.140624 0.159376 0.05 0.0586496 0.1423936 0.1157696 0.2238112 0.05 0.259376 0.4
Call_Me_Maybe_seg015,SP hh ey SP,0.4 0.05 0.240624 0.2680256
Call_Me_Maybe_seg016,SP ay jh ah s m eh t y uw SP,0.2680256 0.1819744 0.0848064 0.0349824 0.1000032 0.0812288 0.1583552 0.1802048 0.0395872 0.35 0.230208
Call_Me_Maybe_seg017,SP AP ax n dh ih s k r ey z iy AP b ah hh ih r z m ay n ah m b er SP,0.230208 0.4 0.060416 0.1197888 0.0395872 0.141664 0.15 0.129168 0.019792 0.320832 0.0859072 0.4526368 0.4812512 0.0395808 0.170832 0.079168 0.130208 0.039584 0.0499968 0.0692128 0.1807904 0.0482336 0.1830176 0.0697888 0.0374464 0.4010976 0.160416
Call_Me_Maybe_seg018,SP AP s ow k ao l m iy m ey b iy AP ae n d ao l dh iy ah dh er b oy z AP tr ay t uw ch ey s m iy AP b ah t hh ih r z m ay n ah m b er SP,0.160416 0.310416 0.119792 0.119792 0.15 0.1812512 0.0395808 0.0654944 0.1240928 0.1353248 0.2136288 0.0625632 0.258272 0.3848096 0.1745664 0.119792 0.2317184 0.1809536 0.091152 0.0195008 0.1172992 0.25 0.0431296 0.019056 0.087072 0.8809472 0.1000032 0.3 0.119792 0.2197888 0.05 0.0802112 0.209376 0.7010368 0.0593792 0.0895872 0.2302016 0.320832 0.0510912 0.1582848 0.0395904 0.0708288 0.181248 0.0291712 0.0499968 0.0504704 0.1693184 0.049728 0.1908992 0.079168 0.0197952 0.3 0.2395776
Call_Me_Maybe_seg019,SP AP s ow k ao m iy m ey b iy SP,0.2395776 0.3 0.1197952 0.1317184 0.165984 0.2033344 0.0724032 0.138016 0.1175424 0.2324608 0.0670848 0.2866176 0.4650432
Call_Me_Maybe_seg021,SP y uw t uh k y ao r t ay m w ih dh ax k ao l ay t uh k n ow t ay m w ih dh ax f ao l y uw g ih v m iy n ah th ih ng ae t ao l SP,0.3055424 0.079168 0.1510464 0.0864704 0.0833152 0.139584 0.0500032 0.090624 0.0291648 0.1338368 0.1755328 0.1000064 0.0233216 0.1475136 0.0620096 0.077568 0.2036224 0.4067968 0.0197952 0.3104128 0.0820352 0.058592 0.117376 0.0693888 0.163232 0.1356288 0.223744 0.0900928 0.015872 0.126528 0.0966784 0.1208256 0.1965568 0.4013568 0.0510528 0.1 0.1406208 0.1033408 0.1372864 0.0395776 0.1065856 0.1527936 0.1057088 0.1745024 0.1 0.160416 0.0791616 0.2319488 0.0195008 0.1391808 0.0895808 0.0587648
Call_Me_Maybe_seg023,SP b ah t s t ih l y uh r ih n m ay w ey AP ay b eh g ax n b aa r ow ax n s t iy l AP hh ae f er s ay t ae n ih t s r iy l SP,0.2614528 0.0614528 0.039584 0.1000128 0.0593728 0.069056 0.1319808 0.0593792 0.0791616 0.1406272 0.0791616 0.130208 0.169792 0.1198912 0.2998976 0.0697984 0.2499968 0.378944 0.2314752 0.0593728 0.1208384 0.1207488 0.0896704 0.1697856 0.0382784 0.2315136 0.0848064 0.1547712 0.0697984 0.1 0.1 0.0593216 0.1917248 0.0791616 0.2688064 0.0353728 0.0656064 0.1774784 0.1235712 0.1417408 0.229472 0.0353792 0.2131968 0.0593792 0.1208256 0.0500032 0.1197952 0.0593728 0.2802048 0.0802112 0.8655296
Call_Me_Maybe_seg024,SP ay d ih d ax n ow ay w uh d f iy l SP,0.8655296 0.2344704 0.0499968 0.2 0.035264 0.1043264 0.192608 0.1969664 0.2604224 0.069792 0.0484416 0.0817664 0.1294656 0.240128 0.169984 0.5813888
Call_Me_Maybe_seg025,SP ay d ih d ax n ow ay w uh d f iy l ih t b ah t ih t s ih n m ay w ey AP y ao r s t eh r w aa z hh ow l d ih ng AP r ih p t jh iy n z s k ih w aa sh ow iy ng SP,0.5813888 0.2092416 0.0499968 0.2197952 0.0395776 0.1406272 0.1179712 0.26224 0.2406272 0.0791616 0.0802112 0.039584 0.157696 0.20272 0.29728 0.132928 0.0500032 0.1140096 0.2057792 0.039584 0.130208 0.1499968 0.0564032 0.105056 0.179168 0.109376 0.360416 0.0593792 0.3104128 0.4802112 0.0593728 0.1010432 0.0791616 0.139584 0.1293952 0.201856 0.039584 0.0291648 0.0406272 0.1197888 0.0500032 0.1499968 0.039584 0.06512 0.1161344 0.0593728 0.2406272 0.0291648 0.0802112 0.0499968 0.2197888 0.124768 0.1971072 0.0593728 0.0395904 0.0593728 0.1044224 0.1851648 0.0499968 0.047488 0.1819776 0.210112 0.0769664 0.053248 0.2104128
Call_Me_Maybe_seg026,SP hh aa t SP,0.2104128 0.0574208 0.1227904 0.039584 0.1802048
Call_Me_Maybe_seg027,SP n ay t SP,0.1802048 0.156064 0.23456 0.109376 0.0802112
Call_Me_Maybe_seg028,SP w ih n w aa z b l ow ih n AP w eh r y uw th ih ng k y uh r g ow ih n b ey b iy AP hh ey SP ay,0.0802112 0.069792 0.120832 0.069792 0.039584 0.0708352 0.069792 0.0791616 0.0499392 0.169856 0.093408 0.0368 0.360416 0.0291648 0.141664 0.0593792 0.079168 0.1104128 0.1408256 0.1393856 0.069792 0.0197888 0.039584 0.0812544 0.0697856 0.0926464 0.1578176 0.18912 0.109376 0.0858624 0.2339264 0.0606464 0.2799808 0.4 0.0593728 0.3208384 0.2234688 0.1859072
Call_Me_Maybe_seg029,ay jh ah s t m eh t y uw SP,0.1859072 0.079392 0.0320704 0.0791616 0.039584 0.0500032 0.1302016 0.2197952 0.0395776 0.2802112 0.1802112
Call_Me_Maybe_seg030,SP AP ae n dh ih s k r ey z iy SP,0.1802112 0.3500032 0.1312512 0.1 0.0346048 0.1653952 0.1291584 0.109376 0.0197888 0.313696 0.0959104 0.3903936 0.1802112
Call_Me_Maybe_seg031,SP AP b ah t hh ih r z m ay n ah m b er SP,0.1802112 0.360416 0.058784 0.1516352 0.0197952 0.1093696 0.1614656 0.0291584 0.0500032 0.0710912 0.1591168 0.0776192 0.1515456 0.1 0.0197888 0.2802112 0.2406272
Call_Me_Maybe_seg032,SP AP s ow k ao l m iy m ey b iy AP SP,0.2406272 0.280192 0.1480384 0.1311424 0.1423296 0.1587072 0.0500096 0.0698496 0.1395392 0.118624 0.23232 0.0571392 0.2919168 0.3220288 0.138432
Call_Me_Maybe_seg033,SP ih t s hh aa t uw l uh k r ay t AP ae t y uw b ey b iy AP b ah t hh ih r z m ay n ah m er SP,0.138432 0.1801472 0.0593728 0.1 0.1593728 0.1406272 0.139584 0.0604352 0.056032 0.084352 0.1606464 0.0903936 0.6689856 0.0593664 0.4702784 0.1367296 0.1533952 0.0395968 0.0461248 0.1561216 0.767008 0.0693888 0.21136 0.3302016 0.0593728 0.1500032 0.0499968 0.0891968 0.114976 0.037504 0.0791744 0.06768 0.1521152 0.0601216 0.1605504 0.1095296 0.3499904 0.1791616
Call_Me_Maybe_seg034,SP AP s ow k ao l m iy m ey b iy SP,0.1791616 0.3208256 0.132672 0.1371328 0.1434752 0.1471552 0.0593664 0.077152 0.122848 0.1064064 0.238432 0.061216 0.233536 0.1157824
Call_Me_Maybe_seg036,SP hh ey SP,0.1068608 0.0697984 0.1802048 0.3499968
Call_Me_Maybe_seg037,SP hh ey SP,0.3499968 0.0706944 0.4095168 0.1173376
Call_Me_Maybe_seg038,SP ay jh ah s m eh t y uw SP,0.1173376 0.1920384 0.0848384 0.0464128 0.079168 0.0697984 0.1151616 0.2629376 0.052096 0.2652672 0.2149376
Call_Me_Maybe_seg040,SP ae n dh ih z s k r eh SP,0.2957696 0.1104128 0.1197952 0.0395776 0.1041792 0.0291584 0.1291648 0.131456 0.02688 0.1044224 0.0612224
Call_Me_Maybe_seg041,SP ey z iy SP,0.0612224 0.1398016 0.1023872 0.371328 0.1602944
Call_Me_Maybe_seg043,SP b ah t hh ih r z m ay n ah m b er SP,0.2246144 0.0395776 0.1312512 0.0291712 0.139584 0.1614592 0.0291584 0.0500096 0.0706816 0.1595136 0.0591872 0.1814528 0.0697856 0.0375424 0.4114176 0.3708416
Call_Me_Maybe_seg044,SP s ow k ao l m iy m ey b iy AP ae n SP,0.3708416 0.11808 0.1235712 0.1478656 0.1500544 0.060416 0.0663808 0.1336192 0.1232 0.2125824 0.0735872 0.2895872 0.5000064 0.181248 0.0593792 0.279872
Call_Me_Maybe_seg045,SP ao l dh iy ah dh er b oy z AP tr ay t uw SP,0.279872 0.180544 0.0565248 0.0309504 0.1218944 0.2604032 0.0592 0.0304 0.0895744 0.8708352 0.0895872 0.3104128 0.1363968 0.2042368 0.0682112 0.0609536 0.1500032
Call_Me_Maybe_seg046,SP ch ey s m iy AP b ah t hh ih r z m ay n ah m b er SP,0.1500032 0.0768 0.6544384 0.0698112 0.090048 0.208896 0.2802176 0.0595072 0.1404928 0.0395776 0.119936 0.14048 0.0291584 0.0500096 0.0762752 0.1643392 0.0513024 0.1997568 0.0791424 0.0319872 0.3180288 0.5802112
Call_Me_Maybe_seg047,SP s ow k ao l m iy m ey b iy SP,0.5802112 0.1174144 0.1112192 0.1911552 0.1604096 0.0593792 0.0601472 0.170048 0.1020672 0.258368 0.0395776 0.2395904 0.230208
Call_Me_Maybe_seg048,SP AP b ao y uw k ey m ih n t uw m ay l ay f ay m ih s t y uw s ow b ae d AP ay m ih s y uw s ow b ae AP ay m ih s y uw s ow s ow b ae d AP b oy y uw k ey m ih n SP,0.230208 0.4956288 0.0666624 0.2377088 0.0395776 0.1406208 0.149888 0.1897088 0.0697856 0.0802048 0.0697984 0.1406208 0.1197952 0.11104 0.2389504 0.0757888 0.1638144 0.1123712 0.17824 0.0712064 0.079808 0.1094016 0.0895744 0.0332416 0.077184 0.1953664 0.4140032 0.0825984 0.3764224 0.0421632 0.3555456 0.1734912 0.0741504 0.0862592 0.169792 0.0395776 0.0802304 0.1783296 0.4216576 0.0791552 0.3906432 0.3339392 0.1764736 0.0697856 0.0999936 0.1500032 0.0291712 0.090624 0.1894016 0.3699712 0.1560832 0.3904768 0.093888 0.1759616 0.0326528 0.3019648 0.0198016 0.2000128 0.079168 0.0999808 0.156672 0.2037504 0.061568 0.0884352 0.0999936 0.290624
Call_Me_Maybe_seg049,SP b oy y uw k ey m ih n dx uw m ay l ay f ay m ih s y uw s ow b ae d AP ae n y uw sh uh d n ow dh ae t SP,0.290624 0.0361344 0.2232448 0.1000064 0.119808 0.1338112 0.1766016 0.0832512 0.1073664 0.109376 0.109376 0.120832 0.1262976 0.2434944 0.0748672 0.16576 0.1090688 0.1700864 0.0825344 0.0684928 0.1895936 0.029184 0.0708096 0.1992704 0.4205312 0.1032832 0.4061056 0.019776 0.318336 0.1233408 0.0791552 0.059392 0.0906112 0.1500032 0.1197952 0.0395904 0.1399296 0.3704832 0.1460864 0.5341184 0.1291648 0.8074368
Call_Me_Maybe_seg050,SP ay m ih s y uw s ow s ow b ae d SP,0.8074368 0.1831936 0.0895872 0.1010304 0.1593856 0.0395776 0.0614528 0.1852928 0.343872 0.1994368 0.368704 0.1587584 0.4625536 0.0857216 0.2693888
Lucky_seg000,SP sh iy s ow l ah k iy SP,1.35 0.1197917 0.159375 0.1538265 0.2263818 0.05 0.1510418 0.1593748 0.386331 0.8345022
Lucky_seg001,SP sh iy z ax s t aa r b ah t sh iy SP,0.8345022 0.1593752 0.2 0.0791668 0.1020832 0.1791664 0.0791672 0.38125 0.1395828 0.0895836 0.1 0.1197916 0.1029972 0.1470028 0.1593748
Lucky_seg002,SP r ay SP,0.1593748 0.05 0.4 0.051042
Lucky_seg003,SP k r ay SP,0.051042 0.1197916 0.0395836 0.4197916 0.0406248
Lucky_seg004,SP k r ay SP,0.0406248 0.1197912 0.039584 0.2 0.3697912
Lucky_seg005,SP ih n hh er l ow n l iy hh aa r t AP th ih ng k ih ng SP,0.3697912 0.132292 0.0848 0.0933248 0.2104168 0.0895832 0.527084 0.0333328 0.0395832 0.4406248 0.1593752 0.2406248 0.069792 0.0395832 0.169792 0.1093328 0.1115 0.139584 0.0557192 0.1453216 0.0687504 0.0532728
Lucky_seg006,SP AP ih f dh eh r z n ah th ih ng SP,0.0532728 0.677212 0.1809752 0.0791648 0.039584 0.0812496 0.1 0.0791664 0.0833968 0.1605432 0.1326552 0.1931968 0.1093752 0.1147728
Lucky_seg008,SP m ih s ih ng ih n m ay l ay f SP,0.1338216 0.064136 0.1358632 0.1593752 0.219792 0.0441536 0.2058448 0.0500032 0.0761248 0.2842896 0.0791664 0.3104176 0.1 0.25
Lucky_seg009,SP b ah t SP,0.25 0.0482336 0.1622448 0.109312 0.2604176
Lucky_seg010,SP w ay SP,0.2604176 0.069792 0.6179632 0.0924528
Lucky_seg011,SP d uw dh iy z t ih r z SP,0.0924528 0.059376 0.8312496 0.0583328 0.3510432 0.1593744 0.0957904 0.5458752 0.1291664 0.1093744 0.1
Lucky_seg012,SP k ah m ae t n ay t SP,0.1 0.0564 0.2857136 0.32768 0.1302064 0.039584 0.17396 0.4270976 0.1387744 0.6603168
Pretty_Boy_seg000,SP ay l ay ax w ey k ae t SP,0.3877551 0.1320366 0.222045 0.6081633 0.2104167 0.1072704 0.3812713 0.2802084 0.3406248 0.0197916 0.2208336
Pretty_Boy_seg001,SP n ay t AP s iy th ih ng z ih n b l ae k ae n d w ay t SP,0.2208336 0.139583 2.1000002 0.2593752 0.6197912 0.2 0.1208336 0.2037416 0.2566752 0.2 0.1395832 0.1302088 0.1276136 0.0306128 0.0734696 0.2974704 0.2538904 0.2669424 0.139584 0.1 0.1197912 1.6906248 0.169792 0.120408
Pretty_Boy_seg002,SP AP ay v SP,0.120408 0.54898 0.0712368 0.079168 0.2063976
Pretty_Boy_seg003,SP ow n l iy g aa t y uw SP,0.2063976 0.1748528 0.0395816 0.0947496 0.1542088 0.146812 0.0833976 0.2611592 0.0591848 0.2692384 0.2906248
Pretty_Boy_seg004,SP ih n s ay d m ay m ay n SP,0.2906248 0.2843536 0.2354384 0.2308896 0.759736 0.1697904 0.0762544 0.2133296 0.1026576 0.3577584 0.069792 0.2
Pretty_Boy_seg005,SP AP y uw n ow y uw hh ae v m d AP m iy b l ay n d AP ay l ay ax w ey k ae n d AP p r ey SP,0.2 0.5 0.0593744 0.1406256 0.1268704 0.1122448 0.2202592 0.1906256 0.1187072 0.0708768 0.1 0.1747008 0.3105456 0.2553792 0.0891776 0.4806128 0.1459184 0.0622432 1.5116288 0.15 0.1 0.616264 0.1639456 0.1455776 0.6544224 0.260416 0.1035296 0.4954288 0.1845024 0.2967488 0.139584 0.0197904 0.060416 0.1593744 0.1132032 1.1065904 0.5395824
Pretty_Boy_seg006,SP AP dh ae t y uw w uh l uh k SP,0.5395824 0.5812512 0.1082896 0.1510832 0.1734064 0.0632672 0.413328 0.1093728 0.2302112 0.0697888 0.2906272 0.1298688 0.2097152
Pretty_Boy_seg007,SP m ay SP,0.2097152 0.0197888 0.4 0.2302112
Pretty_Boy_seg008,SP w ey SP,0.2302112 0.0283808 1.40408 0.3081632
Pretty_Boy_seg009,SP AP ay hh ae v SP,0.3081632 0.6054432 0.215392 0.138688 0.1311008 0.06856 0.113264
Pretty_Boy_seg010,SP ao l dh ih s l ao ng ih ng SP,0.113264 0.168176 0.039584 0.1027872 0.1274208 0.1593728 0.0669472 0.4736832 0.1895808 0.2469376 0.1680288 0.2523808
Pretty_Boy_seg011,SP ih n m ay hh aa r t SP,0.2523808 0.493072 0.3197888 0.1759104 0.2636736 0.1 0.220832 0.179168 0.039584 0.3802048
Pretty_Boy_seg012,SP AP ay n uw ih t SP,0.3802048 0.7583808 0.1571392 0.1721088 0.359184 0.1740256 0.0791616 0.3406272
Pretty_Boy_seg013,SP r ay t f r ah m dh ah s t aa r t AP ow SP,0.3406272 0.039584 0.40104 0.059376 0.139584 0.028848 0.2117792 0.0593728 0.0346272 0.0351616 0.15 0.1093984 1.3124768 0.059376 0.079168 0.5895808 0.1444256 0.0945632
Pretty_Boy_seg014,SP ow m ay SP,0.0945632 0.3110112 0.1675584 0.4324416 0.1406272
Pretty_Boy_seg015,SP p r ih dx iy SP,0.1406272 0.0796544 0.0258528 0.2434528 0.0238944 0.1469376 0.140624
